
DATE: 13-07-2016 03:26:45; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:27:12; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 13-07-2016 03:27:21; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:27:26; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 03:27:29; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 03:27:47; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 13-07-2016 03:28:13; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 03:28:58; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:29:17; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 13-07-2016 03:30:23; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:38; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:39; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:39; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:40; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:40; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:40; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:41; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:41; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:41; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:42; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:42; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:46; USER: root; ** E' STATO MODIFICATO UN UTENTE: id = 1 

DATE: 13-07-2016 03:30:52; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 13-07-2016 03:31:14; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:31:27; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 03:31:30; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 03:31:33; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

